CATEGORY_NAME;LEVEL_NO;LEVEL_DESCR;RPN_CODE;PART_NUMBER;MARKETING_STATUS;PUBLISHED;GENERAL_DESCRIPTION
Condition Monitoring / Predictive Maintenance;3;Scope;268811;PP-CART-NANOAI;Active;Y;"NanoEdge AI&#8482; by Cartesiam is the firstMachine Learning Software specifically developed to entirely run on microcontrollers."
Condition Monitoring / Predictive Maintenance;3;Scope;268827;PP-LEBA-AI-ES;Active;Y;Implement artificial intelligence for industrial applications with STM32Cube.AI on STM32 microcontrollers
Condition Monitoring / Predictive Maintenance;3;Scope;264747;SPBTLE-1S;NRND;Y;"Very low power application module for Bluetooth&#174; Smart v4.2"
DC/DC Converter for EV/HEV;3;Scope;264104;A6984;Active;Y;36 V 400 mA synchronous step-down switching regulator
DC/DC Converter for EV/HEV;3;Scope;262158;A6985F;Active;Y;"Automotive 38 V, 500 mA synchronous step-down switching regulator with 30 &#181;A quiescent current"
DC/DC Converter for EV/HEV;3;Scope;260453;A6986;Active;Y;"38 V, 2 A synchronous step-down switching regulator with 30 &#181;A quiescent current"
DC/DC Converter for EV/HEV;3;Scope;252448;A7985A;Active;Y;2 A step-down switching regulator for automotive applications
DC/DC Converter for EV/HEV;3;Scope;252447;A7986A;Active;Y;3 A step-down switching regulator for automotive applications
DC/DC Converter for EV/HEV;3;Scope;260727;ESDCAN01-2BLY;Active;Y;Automotive dual-line TVS in SOT23-3L for  CAN bus (12 V system)
DC/DC Converter for EV/HEV;3;Scope;261834;ESDCAN03-2BWY;Active;Y;Automotive dual-line TVS in SOT323-3L for CAN bus (12 V system)
DC/DC Converter for EV/HEV;3;Scope;264446;ESDCAN05-2BWY;Active;Y;Automotive dual-line TVS in SOT323-3L for CAN bus (24 V system)
DC/DC Converter for EV/HEV;3;Scope;261198;L5963;Active;Y;Automotive dual monolithic switching regulator with LDO and HSD
DC/DC Converter for EV/HEV;3;Scope;264529;SCTH35N65G2V-7AG;Active;Y;Automotive-grade silicon carbide Power MOSFET 650 V, 45 A, 55 mOhm (typ. TJ = 25 C) in an H2PAK-7 package
DC/DC Converter for EV/HEV;3;Scope;251007;SM15TY;Active;Y;Automotive 1500 W TVS in SMC
DC/DC Converter for EV/HEV;3;Scope;252255;SM30TY;Active;Y;Automotive 3000 W TVS in SMC
DC/DC Converter for EV/HEV;3;Scope;251006;SM4TY;Active;Y;Automotive 400 W TVS in SMA
DC/DC Converter for EV/HEV;3;Scope;261990;SM6T250CAY;Active;Y;Automotive 600 W, 213 V TVS in SMB
DC/DC Converter for EV/HEV;3;Scope;252789;SPC56EL54L3;Active;Y;32-bit Power Architecture MCU for Automotive Chassis and Safety Applications
DC/DC Converter for EV/HEV;3;Scope;264187;SPC584B70E7;Active;Y;32-bit Power Architecture MCU for Automotive General Purpose Applications - Chorus family
DC/DC Converter for EV/HEV;3;Scope;262662;SPC58EC80C3;Active;Y;32-bit Power Architecture MCU for Automotive General Purpose Applications - Chorus family
DC/DC Converter for EV/HEV;3;Scope;260828;SPC58NE84C3;Active;Y;32-bit Power Architecture MCU for High Performance Applications
DC/DC Converter for EV/HEV;3;Scope;264198;ST-DIODE-FINDER;Active;Y;Diode product finder application for Android and iOS
DC/DC Converter for EV/HEV;3;Scope;263145;ST-MOSFET-FINDER;Active;Y;STPOWER MOSFET finder mobile app for tablets and smartphones
DC/DC Converter for EV/HEV;3;Scope;258690;STH315N10F7-2;Active;Y;Automotive-grade N-channel 100 V, 2.1 mOhm typ., 180 A STripFET F7  Power MOSFET in H2PAK-2 package
DC/DC Converter for EV/HEV;3;Scope;166589;TSC102;Active;Y;High side current sense amplifier plus signal conditioning amplifier
Firmware Over-The-Air (FOTA);3;Scope;262158;A6985F;Active;Y;"Automotive 38 V, 500 mA synchronous step-down switching regulator with 30 &#181;A quiescent current"
Firmware Over-The-Air (FOTA);3;Scope;260453;A6986;Active;Y;"38 V, 2 A synchronous step-down switching regulator with 30 &#181;A quiescent current"
Firmware Over-The-Air (FOTA);3;Scope;262161;A6986F;Active;Y;"Automotive 38 V, 1.5 A synchronous step-down switching regulator with 30 &#181;A quiescent current"
Firmware Over-The-Air (FOTA);3;Scope;262582;EVAL-L5963;Active;Y;L5963 Evaluation board 
Firmware Over-The-Air (FOTA);3;Scope;264485;EVAL-L5963Q;Active;Y;L5963Q evaluation board
Firmware Over-The-Air (FOTA);3;Scope;261198;L5963;Active;Y;Automotive dual monolithic switching regulator with LDO and HSD
Firmware Over-The-Air (FOTA);3;Scope;265122;SAMPLES-AUTOPMIC;Active;Y;Automotive Voltage Regulators & System Basis Chip Evaluation Tool
Firmware Over-The-Air (FOTA);3;Scope;263700;SEL-SPC5;Active;Y;Smart Selector for Micro 32bit Power Architecture products
Firmware Over-The-Air (FOTA);3;Scope;255702;SPC5-STUDIO;Active;Y;Code Generator, Quick resources configurator and Eclipse development environment for SPC5 MCUs
Firmware Over-The-Air (FOTA);3;Scope;258745;SPC5-UDEDEBG;Active;Y;PLS JTAG debugger software full license or license renewal
Firmware Over-The-Air (FOTA);3;Scope;259449;SPC5-UDESTK-SW;Active;Y;SPC5-UDESTK Debugging Software for Windows 
Firmware Over-The-Air (FOTA);3;Scope;264736;SPC582B-DIS;Active;Y;Discovery Kit for SPC58 2B line 
Firmware Over-The-Air (FOTA);3;Scope;264737;SPC58EC-DISP;Active;Y;Discovery Kit for SPC58EC - C line 
Firmware Over-The-Air (FOTA);3;Scope;262662;SPC58EC80C3;Active;Y;32-bit Power Architecture MCU for Automotive General Purpose Applications - Chorus family
Firmware Over-The-Air (FOTA);3;Scope;264738;SPC58NG-DISP;Active;Y;Discovery Kit for SPC58NG - G line 
Firmware Over-The-Air (FOTA);3;Scope;261448;ST33G1M0A;Active;Y;"32bit ARM&#174; SecurCore&#174; SC300 optimized for M2M for car"
Firmware Over-The-Air (FOTA);3;Scope;265440;STA1385;Active;Y;Telemaco3P automotive family of telematics and connectivity microprocessor
Firmware Over-The-Air (FOTA);3;Scope;261390;STEVAL-ISA158V1;Active;Y;38 V - 2 A synchronous step-down switching regulator evaluation board based on the A6986
Firmware Over-The-Air (FOTA);3;Scope;262998;STSW-SPC5EV-ADIS;Active;Y;SPC5-EV-ADIS Graphical User Interface for M0-7 High Side Drivers
Gas, Heat, Water Metering;3;Scope;270307;SL-CNWLC011101V1;Active;Y;Complete node to cloud cellular connectivity solution
Gas, Heat, Water Metering;3;Scope;268401;STEVAL-HKI001V2;Active;Y;Industrial drive system kit based on ACEPACK 2 power module
Gas, Heat, Water Metering;3;Scope;268734;STEVAL-MKI213V1;Active;Y;LPS27HHW adapter board for a standard DIL24 socket
Industrial Sensors;3;Scope;269910;SL-PN-IOD01A1;Active;Y;IO-Link for Industrial Sensors
LED Lighting System;3;Scope;255702;SPC5-STUDIO;Active;Y;Code Generator, Quick resources configurator and Eclipse development environment for SPC5 MCUs
Motorcycle Engine Control;3;Scope;260216;L9966;Active;Y;FlexInput IC for automotive applications
Motorcycle Engine Control;3;Scope;267552;PP-EMOT-AUTOENGN;Active;Y;Hardware and firmware for engine management system and automotive applications.
Motorcycle Engine Control;3;Scope;264198;ST-DIODE-FINDER;Active;Y;Diode product finder application for Android and iOS
Secure Connectivity Module;3;Scope;253244;A3G4250D;Active;Y;3-axis digital gyroscope for automotive telematics, navigation applications, AEC-Q100 qualified
Secure Connectivity Module;3;Scope;266557;AIS2IH;Active;Y;MEMS digital output motion sensor: high-performance 3-axis accelerometer for automobile applications
Secure Connectivity Module;3;Scope;251153;AIS328DQ;Active;Y;Automotive 3-axis accelerometer, ultra low power, SPI/I2C digital output, AEC-Q100 qualified
Secure Connectivity Module;3;Scope;260554;AIS3624DQ;Active;Y;3-axis accelerometer for non-safety automotive applications, ultra low power, SPI/I2C digital output, AEC-Q100 qualified
Secure Connectivity Module;3;Scope;265516;ASM330LHH;Active;Y;Automotive 6-axis inertial module: 3D accelerometer and 3D gyroscope
Secure Connectivity Module;3;Scope;265351;AndroidHAL-IIO;Active;Y;Android sensor HAL for MEMS motion and environmental sensors (Industrial I/O framework)
Secure Connectivity Module;3;Scope;265355;AndroidHALInput;Active;Y;Android sensor HAL for MEMS motion and environmental sensors (Input framework)
Secure Connectivity Module;3;Scope;266625;C-Driver-MEMS;Active;Y;Standard C platform-independent drivers for MEMS motion and environmental sensors
Secure Connectivity Module;3;Scope;261170;ESDAXLC6-1BT2Y;Active;Y;Automotive 3 V extra low capacitance TVS in 0402
Secure Connectivity Module;3;Scope;262582;EVAL-L5963;Active;Y;L5963 Evaluation board 
Secure Connectivity Module;3;Scope;264485;EVAL-L5963Q;Active;Y;L5963Q evaluation board
Secure Connectivity Module;3;Scope;264753;EVB-T3;Active;Y;TESEO III evaluation board
Secure Connectivity Module;3;Scope;261198;L5963;Active;Y;Automotive dual monolithic switching regulator with LDO and HSD
Secure Connectivity Module;3;Scope;265314;LinuxDriverIIO;Active;Y;Linux device drivers for MEMS motion and environmental sensors (Industrial I/O framework)
Secure Connectivity Module;3;Scope;265121;LinuxDriverInput;Active;Y;Linux device drivers for MEMS motion and environmental sensors (Input framework)
Secure Connectivity Module;3;Scope;263700;SEL-SPC5;Active;Y;Smart Selector for Micro 32bit Power Architecture products
Secure Connectivity Module;3;Scope;255702;SPC5-STUDIO;Active;Y;Code Generator, Quick resources configurator and Eclipse development environment for SPC5 MCUs
Secure Connectivity Module;3;Scope;258745;SPC5-UDEDEBG;Active;Y;PLS JTAG debugger software full license or license renewal
Secure Connectivity Module;3;Scope;259449;SPC5-UDESTK-SW;Active;Y;SPC5-UDESTK Debugging Software for Windows 
Secure Connectivity Module;3;Scope;262662;SPC58EC80C3;Active;Y;32-bit Power Architecture MCU for Automotive General Purpose Applications - Chorus family
Secure Connectivity Module;3;Scope;261448;ST33G1M0A;Active;Y;"32bit ARM&#174; SecurCore&#174; SC300 optimized for M2M for car"
Secure Connectivity Module;3;Scope;262866;ST33J2M0;Active;Y;"32bit ARM&#174; SecurCore&#174; SC300 with secure integrity architecture, AES, DES, Nescrypt public key co-processors"
Secure Connectivity Module;3;Scope;265440;STA1385;Active;Y;Telemaco3P automotive family of telematics and connectivity microprocessor
Secure Connectivity Module;3;Scope;264253;STA8090GAT;Preview;Y;Automotive Grade GPS/Galileo/Glonass/Beidou/QZSS receiver
Secure Connectivity Module;3;Scope;253487;STEVAL-ISA100V1;Active;Y;3 A step-down switching demonstration board based on the L7986A in HSOP8 package
Secure Connectivity Module;3;Scope;252688;STEVAL-MKI109V2;NRND;Y;eMotion: ST MEMS adapters motherboard based on STM32F103, compatible with all ST MEMS adapter boards
Secure Connectivity Module;3;Scope;263612;STEVAL-MKI109V3;Active;Y;Professional MEMS tool: ST MEMS adapters motherboard based on the STM32F401VE and compatible with all ST MEMS adapters
Secure Connectivity Module;3;Scope;251395;STEVAL-MKI110V1;Active;Y;AIS328DQ adapter board for standard DIL24 socket
Secure Connectivity Module;3;Scope;258547;STEVAL-MKI125V1;Active;Y;A3G4250D adapter board for standard DIL 24 socket
Secure Connectivity Module;3;Scope;261314;STEVAL-MKI158V1;Active;Y;AIS3624DQ adapter board for a standard DIL24 socket
Secure Connectivity Module;3;Scope;263503;STEVAL-OET003V1;Active;Y;Evaluation board for automotive-grade ESD protection
Secure Connectivity Module;3;Scope;262998;STSW-SPC5EV-ADIS;Active;Y;SPC5-EV-ADIS Graphical User Interface for M0-7 High Side Drivers
Secure Connectivity Module;3;Scope;260854;TESEO-DRAW;Active;Y;Dead Reckoning Automotive Way - Sensor fusion firmware for Teseo Family (STA80)
Secure Connectivity Module;3;Scope;264572;TESEO-SUITE;Active;Y;PC software tool to manage,  configure and evaluate the performances of Teseo GNSS family
Smart Farming;3;Scope;269707;FP-ATR-BLE1;Active;Y;STM32Cube function pack for asset tracking using BLE connectivity for SensorTile.box wireless multi sensor development kit
Smart Farming;3;Scope;270307;SL-CNWLC011101V1;Active;Y;Complete node to cloud cellular connectivity solution
Telematics and Connectivity Control Unit;3;Scope;253244;A3G4250D;Active;Y;3-axis digital gyroscope for automotive telematics, navigation applications, AEC-Q100 qualified
Telematics and Connectivity Control Unit;3;Scope;262158;A6985F;Active;Y;"Automotive 38 V, 500 mA synchronous step-down switching regulator with 30 &#181;A quiescent current"
Telematics and Connectivity Control Unit;3;Scope;260453;A6986;Active;Y;"38 V, 2 A synchronous step-down switching regulator with 30 &#181;A quiescent current"
Telematics and Connectivity Control Unit;3;Scope;262161;A6986F;Active;Y;"Automotive 38 V, 1.5 A synchronous step-down switching regulator with 30 &#181;A quiescent current"
Telematics and Connectivity Control Unit;3;Scope;266557;AIS2IH;Active;Y;MEMS digital output motion sensor: high-performance 3-axis accelerometer for automobile applications
Telematics and Connectivity Control Unit;3;Scope;251153;AIS328DQ;Active;Y;Automotive 3-axis accelerometer, ultra low power, SPI/I2C digital output, AEC-Q100 qualified
Telematics and Connectivity Control Unit;3;Scope;260554;AIS3624DQ;Active;Y;3-axis accelerometer for non-safety automotive applications, ultra low power, SPI/I2C digital output, AEC-Q100 qualified
Telematics and Connectivity Control Unit;3;Scope;265516;ASM330LHH;Active;Y;Automotive 6-axis inertial module: 3D accelerometer and 3D gyroscope
Telematics and Connectivity Control Unit;3;Scope;265351;AndroidHAL-IIO;Active;Y;Android sensor HAL for MEMS motion and environmental sensors (Industrial I/O framework)
Telematics and Connectivity Control Unit;3;Scope;265355;AndroidHALInput;Active;Y;Android sensor HAL for MEMS motion and environmental sensors (Input framework)
Telematics and Connectivity Control Unit;3;Scope;265055;BALF-NRG-02D3;Active;Y;"50&#937; / conjugate match balun to BlueNRG transceiver, with integrated harmonic filter"
Telematics and Connectivity Control Unit;3;Scope;262200;BlueNRG-1;Active;Y;"Programmable Bluetooth&reg; LE 5.2 Wireless SoC"
Telematics and Connectivity Control Unit;3;Scope;266625;C-Driver-MEMS;Active;Y;Standard C platform-independent drivers for MEMS motion and environmental sensors
Telematics and Connectivity Control Unit;3;Scope;263896;EMIF02-02OABRY;Active;Y;Automotive low-pass filter and ESD protection for BroadR-Reach? in QFN
Telematics and Connectivity Control Unit;3;Scope;261170;ESDAXLC6-1BT2Y;Active;Y;Automotive 3 V extra low capacitance TVS in 0402
Telematics and Connectivity Control Unit;3;Scope;262582;EVAL-L5963;Active;Y;L5963 Evaluation board 
Telematics and Connectivity Control Unit;3;Scope;264485;EVAL-L5963Q;Active;Y;L5963Q evaluation board
Telematics and Connectivity Control Unit;3;Scope;264753;EVB-T3;Active;Y;TESEO III evaluation board
Telematics and Connectivity Control Unit;3;Scope;261198;L5963;Active;Y;Automotive dual monolithic switching regulator with LDO and HSD
Telematics and Connectivity Control Unit;3;Scope;265314;LinuxDriverIIO;Active;Y;Linux device drivers for MEMS motion and environmental sensors (Industrial I/O framework)
Telematics and Connectivity Control Unit;3;Scope;265121;LinuxDriverInput;Active;Y;Linux device drivers for MEMS motion and environmental sensors (Input framework)
Telematics and Connectivity Control Unit;3;Scope;263700;SEL-SPC5;Active;Y;Smart Selector for Micro 32bit Power Architecture products
Telematics and Connectivity Control Unit;3;Scope;255702;SPC5-STUDIO;Active;Y;Code Generator, Quick resources configurator and Eclipse development environment for SPC5 MCUs
Telematics and Connectivity Control Unit;3;Scope;258745;SPC5-UDEDEBG;Active;Y;PLS JTAG debugger software full license or license renewal
Telematics and Connectivity Control Unit;3;Scope;259449;SPC5-UDESTK-SW;Active;Y;SPC5-UDESTK Debugging Software for Windows 
Telematics and Connectivity Control Unit;3;Scope;261448;ST33G1M0A;Active;Y;"32bit ARM&#174; SecurCore&#174; SC300 optimized for M2M for car"
Telematics and Connectivity Control Unit;3;Scope;265440;STA1385;Active;Y;Telemaco3P automotive family of telematics and connectivity microprocessor
Telematics and Connectivity Control Unit;3;Scope;264253;STA8090GAT;Preview;Y;Automotive Grade GPS/Galileo/Glonass/Beidou/QZSS receiver
Telematics and Connectivity Control Unit;3;Scope;265116;STEVAL-IDB007V2;Active;Y;STEVAL-IDB007V2 evaluation platform based on the BlueNRG-1
Telematics and Connectivity Control Unit;3;Scope;262247;STEVAL-ISA188V1;Active;Y;38 V, 1.5 A synchronous step-down switching regulator evaluation board based on A6986F3V3
Telematics and Connectivity Control Unit;3;Scope;252688;STEVAL-MKI109V2;NRND;Y;eMotion: ST MEMS adapters motherboard based on STM32F103, compatible with all ST MEMS adapter boards
Telematics and Connectivity Control Unit;3;Scope;263612;STEVAL-MKI109V3;Active;Y;Professional MEMS tool: ST MEMS adapters motherboard based on the STM32F401VE and compatible with all ST MEMS adapters
Telematics and Connectivity Control Unit;3;Scope;251395;STEVAL-MKI110V1;Active;Y;AIS328DQ adapter board for standard DIL24 socket
Telematics and Connectivity Control Unit;3;Scope;258547;STEVAL-MKI125V1;Active;Y;A3G4250D adapter board for standard DIL 24 socket
Telematics and Connectivity Control Unit;3;Scope;261314;STEVAL-MKI158V1;Active;Y;AIS3624DQ adapter board for a standard DIL24 socket
Telematics and Connectivity Control Unit;3;Scope;263074;STEVAL-OET002V1;NRND;Y;MDI BRR board for EMIF02-01OABRY or EMIF02-02OABRY
Telematics and Connectivity Control Unit;3;Scope;263503;STEVAL-OET003V1;Active;Y;Evaluation board for automotive-grade ESD protection
Telematics and Connectivity Control Unit;3;Scope;264690;STSW-BLEPROFILES;Active;Y;BlueNRG-1 BLE Profiles SW package
Telematics and Connectivity Control Unit;3;Scope;263538;STSW-BLUENRG1-DK;Active;Y;BlueNRG-1, BlueNRG-2 DK SW package
Telematics and Connectivity Control Unit;3;Scope;264681;STSW-BNRG-Mesh;Active;Y;Mesh over Bluetooth Low Energy
Telematics and Connectivity Control Unit;3;Scope;264751;STSW-BNRG-S2LP;Active;Y;STSW-BNRG-S2LP evaluation software package based on BlueNRG-1 and S2-LP
Telematics and Connectivity Control Unit;3;Scope;260405;STSW-BNRG001;Active;Y;BlueNRG current consumption estimation tool
Telematics and Connectivity Control Unit;3;Scope;264336;STSW-BNRG1STLINK;Active;Y;BlueNRG-1 ST-LINK utility for BlueNRG-1, BlueNRG-2 MCU
Telematics and Connectivity Control Unit;3;Scope;270877;STSW-BNRGLP-Mesh;Active;Y;Mesh over Bluetooth low energy
Telematics and Connectivity Control Unit;3;Scope;263294;STSW-BNRGUI;Active;Y;BLUENRG family GUI 
Telematics and Connectivity Control Unit;3;Scope;265361;STSW-BNRG_V1-DK;NRND;Y;BlueNRG-1 DK SW package for BLE stack family v1.x
Telematics and Connectivity Control Unit;3;Scope;262998;STSW-SPC5EV-ADIS;Active;Y;SPC5-EV-ADIS Graphical User Interface for M0-7 High Side Drivers
Telematics and Connectivity Control Unit;3;Scope;260854;TESEO-DRAW;Active;Y;Dead Reckoning Automotive Way - Sensor fusion firmware for Teseo Family (STA80)
Telematics and Connectivity Control Unit;3;Scope;264572;TESEO-SUITE;Active;Y;PC software tool to manage,  configure and evaluate the performances of Teseo GNSS family
Telematics and Connectivity Control Unit;3;Scope;251865;USBLC6-2SC6Y;Active;Y;Automotive very low capacitance ESD protection
Tracking;3;Scope;269840;SL-SMARTAG1;Active;Y;NFC SensorTAG (NFC Dynamic Tag sensor node)
Tracking;3;Scope;268748;X-NUCLEO-IDB05A2;Active;Y;Bluetooth low energy expansion board based on the BlueNRG-M0 module for STM32 Nucleo
Transmission Control;3;Scope;264198;ST-DIODE-FINDER;Active;Y;Diode product finder application for Android and iOS
Vehicle-to-Everything (V2X);3;Scope;253244;A3G4250D;Active;Y;3-axis digital gyroscope for automotive telematics, navigation applications, AEC-Q100 qualified
Vehicle-to-Everything (V2X);3;Scope;252448;A7985A;Active;Y;2 A step-down switching regulator for automotive applications
Vehicle-to-Everything (V2X);3;Scope;252447;A7986A;Active;Y;3 A step-down switching regulator for automotive applications
Vehicle-to-Everything (V2X);3;Scope;268003;A7987;Active;Y;61 V 3A asynchronous step-down switching regulator with adjustable current limitation for automotive 
Vehicle-to-Everything (V2X);3;Scope;266557;AIS2IH;Active;Y;MEMS digital output motion sensor: high-performance 3-axis accelerometer for automobile applications
Vehicle-to-Everything (V2X);3;Scope;251153;AIS328DQ;Active;Y;Automotive 3-axis accelerometer, ultra low power, SPI/I2C digital output, AEC-Q100 qualified
Vehicle-to-Everything (V2X);3;Scope;260554;AIS3624DQ;Active;Y;3-axis accelerometer for non-safety automotive applications, ultra low power, SPI/I2C digital output, AEC-Q100 qualified
Vehicle-to-Everything (V2X);3;Scope;265516;ASM330LHH;Active;Y;Automotive 6-axis inertial module: 3D accelerometer and 3D gyroscope
Vehicle-to-Everything (V2X);3;Scope;261206;AST1S31HF;Active;Y;Up to 4 V, 3 A step-down 2.3 MHz switching regulator for automotive applications
Vehicle-to-Everything (V2X);3;Scope;265351;AndroidHAL-IIO;Active;Y;Android sensor HAL for MEMS motion and environmental sensors (Industrial I/O framework)
Vehicle-to-Everything (V2X);3;Scope;265355;AndroidHALInput;Active;Y;Android sensor HAL for MEMS motion and environmental sensors (Input framework)
Vehicle-to-Everything (V2X);3;Scope;265055;BALF-NRG-02D3;Active;Y;"50&#937; / conjugate match balun to BlueNRG transceiver, with integrated harmonic filter"
Vehicle-to-Everything (V2X);3;Scope;262200;BlueNRG-1;Active;Y;"Programmable Bluetooth&reg; LE 5.2 Wireless SoC"
Vehicle-to-Everything (V2X);3;Scope;266625;C-Driver-MEMS;Active;Y;Standard C platform-independent drivers for MEMS motion and environmental sensors
Vehicle-to-Everything (V2X);3;Scope;263896;EMIF02-02OABRY;Active;Y;Automotive low-pass filter and ESD protection for BroadR-Reach? in QFN
Vehicle-to-Everything (V2X);3;Scope;261170;ESDAXLC6-1BT2Y;Active;Y;Automotive 3 V extra low capacitance TVS in 0402
Vehicle-to-Everything (V2X);3;Scope;262582;EVAL-L5963;Active;Y;L5963 Evaluation board 
Vehicle-to-Everything (V2X);3;Scope;264485;EVAL-L5963Q;Active;Y;L5963Q evaluation board
Vehicle-to-Everything (V2X);3;Scope;264753;EVB-T3;Active;Y;TESEO III evaluation board
Vehicle-to-Everything (V2X);3;Scope;261198;L5963;Active;Y;Automotive dual monolithic switching regulator with LDO and HSD
Vehicle-to-Everything (V2X);3;Scope;265314;LinuxDriverIIO;Active;Y;Linux device drivers for MEMS motion and environmental sensors (Industrial I/O framework)
Vehicle-to-Everything (V2X);3;Scope;265121;LinuxDriverInput;Active;Y;Linux device drivers for MEMS motion and environmental sensors (Input framework)
Vehicle-to-Everything (V2X);3;Scope;263700;SEL-SPC5;Active;Y;Smart Selector for Micro 32bit Power Architecture products
Vehicle-to-Everything (V2X);3;Scope;255702;SPC5-STUDIO;Active;Y;Code Generator, Quick resources configurator and Eclipse development environment for SPC5 MCUs
Vehicle-to-Everything (V2X);3;Scope;258745;SPC5-UDEDEBG;Active;Y;PLS JTAG debugger software full license or license renewal
Vehicle-to-Everything (V2X);3;Scope;259449;SPC5-UDESTK-SW;Active;Y;SPC5-UDESTK Debugging Software for Windows 
Vehicle-to-Everything (V2X);3;Scope;261448;ST33G1M0A;Active;Y;"32bit ARM&#174; SecurCore&#174; SC300 optimized for M2M for car"
Vehicle-to-Everything (V2X);3;Scope;265440;STA1385;Active;Y;Telemaco3P automotive family of telematics and connectivity microprocessor
Vehicle-to-Everything (V2X);3;Scope;264253;STA8090GAT;Preview;Y;Automotive Grade GPS/Galileo/Glonass/Beidou/QZSS receiver
Vehicle-to-Everything (V2X);3;Scope;265116;STEVAL-IDB007V2;Active;Y;STEVAL-IDB007V2 evaluation platform based on the BlueNRG-1
Vehicle-to-Everything (V2X);3;Scope;253487;STEVAL-ISA100V1;Active;Y;3 A step-down switching demonstration board based on the L7986A in HSOP8 package
Vehicle-to-Everything (V2X);3;Scope;261271;STEVAL-ISA160V1;Active;Y;3 A / 2.3 MHz step-down synchronous switching regulator based on the AST1S31HF in a DFN 3x3 package
Vehicle-to-Everything (V2X);3;Scope;252688;STEVAL-MKI109V2;NRND;Y;eMotion: ST MEMS adapters motherboard based on STM32F103, compatible with all ST MEMS adapter boards
Vehicle-to-Everything (V2X);3;Scope;263612;STEVAL-MKI109V3;Active;Y;Professional MEMS tool: ST MEMS adapters motherboard based on the STM32F401VE and compatible with all ST MEMS adapters
Vehicle-to-Everything (V2X);3;Scope;251395;STEVAL-MKI110V1;Active;Y;AIS328DQ adapter board for standard DIL24 socket
Vehicle-to-Everything (V2X);3;Scope;258547;STEVAL-MKI125V1;Active;Y;A3G4250D adapter board for standard DIL 24 socket
Vehicle-to-Everything (V2X);3;Scope;261314;STEVAL-MKI158V1;Active;Y;AIS3624DQ adapter board for a standard DIL24 socket
Vehicle-to-Everything (V2X);3;Scope;263074;STEVAL-OET002V1;NRND;Y;MDI BRR board for EMIF02-01OABRY or EMIF02-02OABRY
Vehicle-to-Everything (V2X);3;Scope;263503;STEVAL-OET003V1;Active;Y;Evaluation board for automotive-grade ESD protection
Vehicle-to-Everything (V2X);3;Scope;264690;STSW-BLEPROFILES;Active;Y;BlueNRG-1 BLE Profiles SW package
Vehicle-to-Everything (V2X);3;Scope;263538;STSW-BLUENRG1-DK;Active;Y;BlueNRG-1, BlueNRG-2 DK SW package
